Demographic;Borough;Cohort;Total Cohort;Total Grads - n;Total Grads - % of cohort;Total Regents - n;Total Regents - % of cohort;Total Regents - % of grads;Advanced Regents - n;Advanced Regents - % of cohort;Advanced Regents - % of grads;Regents w/o Advanced - n;Regents w/o Advanced - % of cohort;Regents w/o Advanced - % of grads;Local - n;Local - % of cohort;Local - % of grads;Still Enrolled - n;Still Enrolled - % of cohort;Dropped Out - n;Dropped Out - % of cohort
Male;Brooklyn;2004;11,435;5,493;48;3,967;34.7;72.2;1,697;14.8;30.9;2,270;19.9;41.3;1,526;13.3;27.8;3,756;32.8;1,796;15.7
Male;Brooklyn;2005;11,389;5,736;50.4;4,339;38.1;75.6;1,679;14.7;29.3;2,660;23.4;46.4;1,397;12.3;24.4;3,641;32;1,546;13.6
Male;Brooklyn;2006;11,387;6,006;52.7;4,822;42.3;80.3;1,669;14.7;27.8;3,153;27.7;52.5;1,184;10.4;19.7;3,317;29.1;1,568;13.8
Male;Brooklyn;Aug 2006;11,387;6,559;57.6;5,120;45;78.1;1,699;14.9;25.9;3,421;30;52.2;1,439;12.6;21.9;2,771;24.3;1,561;13.7
Male;Manhattan;2001;5,950;3,046;51.2;1,968;33.1;64.6;811;13.6;26.6;1,157;19.4;38;1,079;18.1;35.4;1,543;25.9;1,131;19
Male;Manhattan;2002;6,186;3,094;50;2,232;36.1;72.1;882;14.3;28.5;1,350;21.8;43.6;865;14;28;1,916;31;937;15.1
Male;Manhattan;2003;6,414;2,994;46.7;2,181;34;72.8;1,020;15.9;34.1;1,161;18.1;38.8;813;12.7;27.2;2,282;35.6;968;15.1
Male;Manhattan;2004;7,057;3,602;51;2,706;38.3;75.1;1,210;17.1;33.6;1,496;21.2;41.5;896;12.7;24.9;2,242;31.8;1,039;14.7
Male;Manhattan;2005;7,277;4,032;55.4;3,098;42.6;76.8;1,127;15.5;28;1,971;27.1;48.9;933;12.8;23.1;2,055;28.2;875;12
Male;Manhattan;2006;7,509;4,197;55.9;3,510;46.7;83.6;1,188;15.8;28.3;2,322;30.9;55.3;687;9.1;16.4;2,011;26.8;931;12.4
Male;Manhattan;Aug 2006;7,509;4,468;59.5;3,665;48.8;82;1,195;15.9;26.7;2,470;32.9;55.3;803;10.7;18;1,745;23.2;927;12.3
Male;Queens;2001;8,684;4,091;47.1;2,852;32.8;69.7;1,128;13;27.6;1,724;19.9;42.1;1,242;14.3;30.4;2,688;31;1,632;18.8
Male;Queens;2002;9,286;4,358;46.9;3,218;34.7;73.8;1,142;12.3;26.2;2,076;22.4;47.6;1,140;12.3;26.2;2,870;30.9;1,692;18.2
Male;Queens;2003;9,423;4,676;49.6;3,567;37.9;76.3;1,518;16.1;32.5;2,049;21.7;43.8;1,109;11.8;23.7;2,862;30.4;1,667;17.7
Male;Queens;2004;9,698;5,039;52;3,885;40.1;77.1;1,645;17;32.6;2,240;23.1;44.5;1,154;11.9;22.9;2,948;30.4;1,516;15.6
Male;Queens;2005;10,259;5,525;53.9;4,353;42.4;78.8;1,618;15.8;29.3;2,735;26.7;49.5;1,172;11.4;21.2;2,753;26.8;1,486;14.5
Male;Queens;2006;10,202;5,887;57.7;4,874;47.8;82.8;1,572;15.4;26.7;3,302;32.4;56.1;1,013;9.9;17.2;2,554;25;1,378;13.5
Male;Queens;Aug 2006;10,202;6,422;62.9;5,164;50.6;80.4;1,597;15.7;24.9;3,567;35;55.5;1,258;12.3;19.6;2,020;19.8;1,377;13.5
Male;Staten Island;2001;2,067;1,258;60.9;937;45.3;74.5;423;20.5;33.6;514;24.9;40.9;321;15.5;25.5;482;23.3;268;13
Male;Staten Island;2002;2,111;1,295;61.3;948;44.9;73.2;400;18.9;30.9;548;26;42.3;348;16.5;26.9;503;23.8;240;11.4
Male;Staten Island;2003;2,103;1,297;61.7;1,005;47.8;77.5;404;19.2;31.1;601;28.6;46.3;292;13.9;22.5;530;25.2;212;10.1
Male;Staten Island;2004;2,092;1,310;62.6;1,035;49.5;79;461;22;35.2;574;27.4;43.8;275;13.1;21;481;23;225;10.8
Male;Staten Island;2005;2,244;1,465;65.3;1,164;51.9;79.5;490;21.8;33.4;674;30;46;301;13.4;20.5;447;19.9;204;9.1
Male;Staten Island;2006;2,413;1,681;69.7;1,429;59.2;85;573;23.7;34.1;856;35.5;50.9;252;10.4;15;394;16.3;235;9.7
Male;Staten Island;Aug 2006;2,413;1,725;71.5;1,458;60.4;84.5;573;23.7;33.2;885;36.7;51.3;267;11.1;15.5;350;14.5;235;9.7
